Year,Name,Performance,Seed,Snake,RPI,SOS,LRPI,OFFQ,DEFQ,ASM,ESPN BPI,ESPN PVA,AP PRE,AP POST,COACH PRE,COACH POST,Win Pct,PPG,OPP PPG,SCR MAR,FG%,OPP FG%,3PG,3FG%,Opp 3FG%,FT%,RPG,OPP RPG,REB MAR,APG,TOPG,AST/TO Ratio,TO Diff,BKPG,STPG,PFPG,DQ
2012,Wisconsin,4,4,14,0.607,19,17,-1.7,15.7,14,81.7,12,720,766,313,348,72.7,63.9,52.9,11,42.4,38.3,7.6,36.1,28.9,74.1,33.8,31.5,2.2,11.7,9,1.3,2,3.5,5.2,14.2,6
2012,Xavier,4,10,40,0.5789,30,48,4.2,2,6.3,70.8,7.1,747,0,277,0,63.6,70.8,67.5,3.3,45.3,39.8,4.9,34.84680851,30.6,69.2,36.4,34.4,2,13.4,12.7,1.05,1.267,3.8,6.1,18.8,10
2013,Akron,2,12,51,0.5865,132,58,6.1,4.6,10.7,73.5,8.2,0,0,0,0,81.3,72.7,62,10.8,45.7,39,7.1,42.06642066,31.8,64.5,38,32,6,15,13.6,1.1,0.2,5.7,7.2,17.7,8
2013,Albany (NY),2,15,62,0.5198,294,136,-1.2,3.2,2,51.6,0.5,0,0,0,0,70.6,64.4,60.3,4.1,43.8,42.2,6,41.71779141,33.1,73.4,33.6,30.6,3,11.2,13.4,0.84,-0.8,2,5.4,16,6
2013,Arizona,4,6,21,0.6219,28,33,7.5,4.6,12,83,12.7,902,259,411,183,78.1,73.3,63.7,9.6,45,41.5,7.7,46.57794677,36,74.8,36.3,30.3,6,13.8,13.1,1.06,0.7,3.9,6.9,16.3,13
2013,Belmont,2,11,44,0.6137,74,42,8.1,4.9,13,73.7,8.2,0,11,0,21,81.3,77.2,64,13.2,49.4,41,8.5,49.63369963,33,73.3,32.2,33,-0.8,15.9,13.5,1.18,3.9,2.8,9.8,18.3,4
2013,Boise St.,1,13,45,0.5883,70,63,5.6,0.8,6.4,74.5,8.6,0,0,0,0,67.7,73.3,65,8.3,45.9,43.1,7.8,38.47376789,33.2,75,33.9,29.7,4.2,13.2,12.1,1.09,1.5,1.7,6.7,18.9,16
2013,Bucknell,2,11,48,0.577,217,65,1,7.8,8.8,71.1,7.2,0,0,0,0,84.8,67.3,57.5,9.8,45.6,37.8,4.6,25.67567568,31.1,74.4,36.2,30.3,5.8,13.4,9.5,1.42,-0.3,4.1,3.6,14.5,2
2013,Butler,3,6,22,0.6133,31,13,2,5.3,7.3,74.7,8.7,33,17,0,9,76.5,69.3,63.8,5.5,45.3,41.8,6.6,30.52917232,33.3,68.9,36.6,29,7.7,13.1,13.4,0.98,-2.1,2.4,5.7,18,13
2013,California,3,12,42,0.575,43,49,2.1,3.8,5.8,72,7.6,0,0,0,0,64.5,67.5,64.4,3.2,44.6,39.6,4,15.82278481,33.6,72.5,37.2,34,3.2,14.1,12.5,1.12,-1.5,4.7,5.8,16.3,13
2013,Cincinnati,2,10,37,0.5855,24,30,2.2,8.3,10.4,76.7,9.5,120,0,33,0,66.7,66.6,58.8,7.9,40.2,38.5,6.8,43.18618042,30,64.9,40,33.5,6.5,12.2,12.8,0.95,0.4,6.2,7,17.7,14
2013,Colorado,2,10,36,0.5931,19,50,2.6,5.1,7.7,75.8,9.1,0,0,0,0,65.6,68.2,63.8,4.4,43.6,40.4,5.4,36.57505285,32.3,68.4,37.2,33.8,3.4,10,13.3,0.76,-0.3,3.1,7,15.8,13
2013,Colorado St.,3,8,30,0.6111,59,45,7.3,2.9,10.1,78.5,10.4,0,10,0,5,75.8,73.1,62.9,10.2,44.8,40.9,5.1,24.81536189,33.7,71.3,40.4,28.4,12.1,13.1,10.8,1.21,0.3,2,4.9,17.1,6
2013,Creighton,3,7,25,0.6046,95,29,9.1,4,13.1,83.1,12.8,622,215,325,142,79.4,75.4,63.1,12.3,50.8,40.7,8.8,44.74474474,31.3,75,35.2,30.3,4.9,17.2,12.3,1.4,-1.7,2.6,5,16.2,6
2013,Davidson,2,14,55,0.56,203,69,5.9,3.6,9.5,68.3,6.2,0,0,0,0,78.8,73.7,62.2,11.5,46.3,41.2,7.6,34.62603878,32.7,80.1,33.8,31.4,2.4,14,10.9,1.28,1.4,2.9,5.7,17.7,8
2013,Duke,5,2,6,0.6691,1,1,12.4,4.9,17.3,88.5,16.4,1094,1297,516,609,84.4,78.3,65.4,12.9,47.6,41.8,7.8,45.67219153,29.3,73.2,33.8,35,-1.2,14.7,10.7,1.37,3.7,3.8,6.5,17.7,18
2013,FGCU,4,15,59,0.5411,225,135,4.1,-0.5,3.5,56.2,2,0,0,0,0,70.6,73.1,66.7,6.4,46,40.6,6.8,48.01670146,31.1,67.7,36.6,35.4,1.2,14,14.7,0.95,1.2,3.8,9,17.6,15
2013,Florida,5,3,10,0.6332,16,27,6.9,13.8,20.7,89,16.7,936,768,422,420,78.8,71.6,53.7,17.9,48.1,37.7,8.4,45.33551555,30.1,68.1,35.1,30.3,4.8,14.8,11.1,1.33,2.9,3.3,7,14.1,6
2013,Georgetown,2,2,7,0.6315,20,3,-0.3,12.5,12.2,82.2,12.2,0,1204,0,543,80.6,64.6,55.7,8.8,45.6,37.6,5.9,35.33980583,30.5,68,32.9,31.7,1.2,14.8,12.7,1.17,1.5,3.8,7.5,16.9,19
2013,Gonzaga,3,1,4,0.6368,96,7,10,8.6,18.5,87.4,15.5,384,1604,166,774,93.9,77.6,59.4,18.2,50.4,38.2,6.4,35.83617747,32,70.7,37.3,29.9,7.4,15.2,11.2,1.36,2.6,2.8,8,15.7,2
2013,Harvard,3,14,58,0.5428,199,83,3.3,0.6,4,59.6,3.1,0,0,0,0,67.9,68.9,63.9,5.1,48.2,44,6.4,28.70967742,32.5,72,29.4,30.4,-1,13.2,13.5,0.98,0.3,4.4,7.4,15.1,10
2013,Illinois,3,7,28,0.5921,9,24,5,2.6,7.6,69.7,6.7,0,0,0,0,64.7,69.1,65.3,3.8,41.6,42.7,7.8,43.08943089,34.3,72.5,33.5,34.9,-1.3,10.2,11.5,0.89,2.9,4,6.9,18.2,14
2013,Indiana,4,1,3,0.6339,11,4,15.9,4.7,20.6,88,16,1592,1410,761,639,81.8,80,62.5,17.5,48.6,39,7.3,52.16450216,30.6,74.5,38.6,30.9,7.7,14.5,13,1.12,1.4,3.7,7.5,17.1,5
2013,Iona,2,15,61,0.538,143,134,14.7,-9.9,4.9,62.9,4.2,0,0,0,0,60.6,80.7,75.8,4.9,45.7,44.9,8.4,47.1890971,37.3,77.8,36,35.9,0.2,15.5,12.2,1.27,1.9,3,6.6,17.1,13
2013,Iowa St.,3,10,39,0.5874,42,48,13.6,-3,10.6,76.5,9.4,0,0,0,0,66.7,79.6,71.2,8.4,45.5,42.7,9.8,65.39235412,30.7,73.1,38.7,34,4.7,16,13.3,1.2,-0.1,2.9,6.5,17,12
2013,James Madison,2,16,66,0.4904,298,180,-2.7,1.8,-0.9,48.2,-0.6,0,0,0,0,58.8,65.2,64.4,0.8,42,42.7,5.7,32.5542571,35,70.1,32.7,34.2,-1.5,11.7,11.2,1.05,2.6,4.5,7.9,17.1,10
2013,Kansas,4,1,2,0.6411,29,10,9.2,7.2,16.4,85.5,14.2,1210,1459,563,703,85.3,75.4,61.5,13.9,48,36,6,40.59405941,30.7,73.3,39.1,32.5,6.6,15.6,13.7,1.14,-0.8,6.6,7.2,17,10
2013,Kansas St.,2,4,14,0.613,58,9,2.3,7.6,10,77.6,10,12,903,13,370,79.4,69.2,60.4,8.9,43.6,41.8,6.9,39.06510851,31.5,68.9,35.3,32.1,3.2,16,11.6,1.38,2.7,3.6,7.1,18.1,10
2013,La Salle,4,13,49,0.591,81,43,5.2,2.2,7.4,72,7.5,0,0,0,0,70,72.4,66,6.5,44.8,45.6,7.6,40.07029877,29.9,73.8,31.7,34.7,-3,14.4,11.7,1.23,3.2,3.6,8.1,15.3,10
2013,Liberty,1,16,68,0.4298,297,277,-1.4,-3.3,-4.7,36.2,-4.5,0,0,0,0,42.9,69.1,69.9,-0.8,42.9,41.9,6.9,34.13597734,30,72.6,35.7,36.3,-0.7,12.2,13.4,0.91,-2.6,2.9,5.5,19.1,8
2013,LIU Brooklyn,1,16,65,0.4977,306,189,9,-8.9,0.1,48,-0.6,0,0,0,0,60.6,79.5,76.4,3.1,48.4,46.8,7.4,37.6744186,37.3,69,35.4,33.6,1.8,15.3,14.4,1.06,-1.4,3.5,6.8,17.7,17
2013,Louisville,8,1,1,0.6573,6,2,9.5,9.7,19.2,91.3,18.8,1568,1579,738,743,85.3,73.6,58,15.6,44.5,38.8,5.8,35.5475763,31.2,71.1,37.5,33.9,3.6,15,12.7,1.18,6,4.2,10.7,17.7,7
2013,Marquette,5,3,12,0.6258,14,22,6.3,3.5,9.7,80.4,11.3,23,646,0,291,74.2,69,62.7,6.3,46.7,40.5,4.3,18.83024251,31.8,72.3,35,30.6,4.4,14.4,13.6,1.05,-0.7,3.4,6.7,17,6
